x,empREL,empTTF
-inf,1.0,0.0
200.0,0.9980276134122288,0.0019723865877712033
200.0,0.9960552268244576,0.0039447731755424065
200.0,0.9940828402366864,0.00591715976331361
200.0,0.9921104536489151,0.007889546351084813
200.0,0.9901380670611439,0.009861932938856016
201.0,0.9881656804733728,0.011834319526627219
203.0,0.9861932938856016,0.013806706114398423
204.0,0.9842209072978304,0.015779092702169626
206.0,0.9822485207100592,0.01775147928994083
208.0,0.980276134122288,0.01972386587771203
209.0,0.9783037475345168,0.021696252465483234
211.0,0.9763313609467456,0.023668639053254437
211.0,0.9743589743589743,0.025641025641025644
211.0,0.9723865877712031,0.027613412228796846
218.0,0.9704142011834319,0.02958579881656805
220.0,0.9684418145956607,0.03155818540433925
220.0,0.9664694280078896,0.03353057199211046
220.0,0.9644970414201184,0.035502958579881665
220.0,0.9625246548323472,0.037475345167652864
221.0,0.960552268244576,0.03944773175542407
224.0,0.9585798816568047,0.04142011834319527
226.0,0.9566074950690335,0.043392504930966476
229.0,0.9546351084812623,0.045364891518737675
230.0,0.9526627218934911,0.04733727810650888
231.0,0.9506903353057199,0.04930966469428009
231.0,0.9487179487179487,0.05128205128205129
231.0,0.9467455621301775,0.053254437869822494
232.0,0.9447731755424063,0.05522682445759369
234.0,0.9428007889546351,0.0571992110453649
234.0,0.9408284023668639,0.0591715976331361
235.0,0.9388560157790927,0.061143984220907305
238.0,0.9368836291913215,0.0631163708086785
240.0,0.9349112426035503,0.0650887573964497
240.0,0.9329388560157791,0.0670611439842209
245.0,0.9309664694280079,0.06903353057199212
246.0,0.9289940828402367,0.07100591715976332
248.0,0.9270216962524654,0.07297830374753451
248.0,0.9250493096646943,0.07495069033530571
249.0,0.9230769230769231,0.07692307692307693
253.0,0.9211045364891519,0.07889546351084813
256.0,0.9191321499013807,0.08086785009861933
258.0,0.9171597633136095,0.08284023668639054
258.0,0.9151873767258383,0.08481262327416174
260.0,0.9132149901380671,0.08678500986193294
261.0,0.9112426035502958,0.08875739644970414
264.0,0.9092702169625246,0.09072978303747535
272.0,0.9072978303747534,0.09270216962524655
276.0,0.9053254437869822,0.09467455621301775
276.0,0.903353057199211,0.09664694280078896
279.0,0.9013806706114398,0.09861932938856016
280.0,0.8994082840236687,0.10059171597633136
281.0,0.8974358974358975,0.10256410256410256
287.0,0.8954635108481263,0.10453648915187377
289.0,0.893491124260355,0.10650887573964497
291.0,0.8915187376725838,0.10848126232741617
301.0,0.8895463510848126,0.11045364891518737
310.0,0.8875739644970414,0.11242603550295859
311.0,0.8856015779092702,0.11439842209072978
311.0,0.883629191321499,0.11637080867850098
312.0,0.8816568047337278,0.1183431952662722
316.0,0.8796844181459567,0.1203155818540434
317.0,0.8777120315581854,0.1222879684418146
320.0,0.8757396449704142,0.1242603550295858
328.0,0.873767258382643,0.126232741617357
336.0,0.8717948717948718,0.12820512820512822
340.0,0.8698224852071006,0.13017751479289943
342.0,0.8678500986193294,0.13214990138067062
347.0,0.8658777120315582,0.13412228796844183
362.0,0.863905325443787,0.13609467455621305
368.0,0.8619329388560157,0.13806706114398423
377.0,0.8599605522682445,0.14003944773175545
378.0,0.8579881656804733,0.14201183431952663
378.0,0.8560157790927021,0.14398422090729784
381.0,0.8540433925049309,0.14595660749506906
391.0,0.8520710059171598,0.14792899408284024
396.0,0.8500986193293886,0.14990138067061146
413.0,0.8481262327416174,0.15187376725838267
414.0,0.8461538461538461,0.15384615384615385
425.0,0.8441814595660749,0.15581854043392507
444.0,0.8422090729783037,0.15779092702169628
445.0,0.8402366863905325,0.15976331360946747
450.0,0.8382642998027613,0.16173570019723868
457.0,0.8362919132149901,0.1637080867850099
464.0,0.834319526627219,0.16568047337278108
477.0,0.8323471400394478,0.1676528599605523
480.0,0.8303747534516766,0.16962524654832348
497.0,0.8284023668639053,0.1715976331360947
512.0,0.8264299802761341,0.1735700197238659
514.0,0.8244575936883629,0.1755424063116371
519.0,0.8224852071005917,0.1775147928994083
545.0,0.8205128205128205,0.17948717948717952
548.0,0.8185404339250493,0.1814595660749507
558.0,0.8165680473372781,0.18343195266272191
562.0,0.8145956607495068,0.18540433925049313
568.0,0.8126232741617356,0.1873767258382643
568.0,0.8106508875739644,0.18934911242603553
580.0,0.8086785009861932,0.19132149901380674
593.0,0.8067061143984221,0.19329388560157792
621.0,0.8047337278106509,0.19526627218934914
626.0,0.8027613412228797,0.19723865877712032
634.0,0.8007889546351085,0.19921104536489154
647.0,0.7988165680473372,0.20118343195266275
649.0,0.796844181459566,0.20315581854043394
672.0,0.7948717948717948,0.20512820512820515
677.0,0.7928994082840236,0.20710059171597636
681.0,0.7909270216962525,0.20907297830374755
705.0,0.7889546351084813,0.21104536489151876
714.0,0.7869822485207101,0.21301775147928997
733.0,0.7850098619329389,0.21499013806706116
740.0,0.7830374753451677,0.21696252465483237
780.0,0.7810650887573964,0.21893491124260356
793.0,0.7790927021696252,0.22090729783037477
805.0,0.777120315581854,0.22287968441814598
806.0,0.7751479289940828,0.22485207100591717
810.0,0.7731755424063116,0.22682445759368838
831.0,0.7712031558185404,0.2287968441814596
857.0,0.7692307692307692,0.23076923076923078
861.0,0.767258382642998,0.232741617357002
911.0,0.7652859960552267,0.2347140039447732
925.0,0.7633136094674556,0.2366863905325444
928.0,0.7613412228796844,0.2386587771203156
929.0,0.7593688362919132,0.24063116370808682
933.0,0.757396449704142,0.242603550295858
951.0,0.7554240631163708,0.24457593688362922
957.0,0.7534516765285996,0.2465483234714004
960.0,0.7514792899408284,0.24852071005917162
