Tupla,# Entries,Start time,End time,Length,Density,Interarrival
107,3,1168436043,1168436043,0,inf,44100.0
108,13,1168445120,1168445137,17,0.7647058823529411,9077.0
109,3,1168447068,1168447068,0,inf,1931.0
110,3,1168455486,1168455486,0,inf,8418.0
111,3,1168458187,1168458187,0,inf,2701.0
112,3,1168460958,1168460958,0,inf,2771.0
113,6,1168466214,1168466243,29,0.20689655172413793,5256.0
114,4049,1168468744,1168469478,734,5.516348773841962,2501.0
115,3,1168476085,1168476085,0,inf,6607.0
116,14,1168480142,1168480237,95,0.14736842105263157,4057.0
117,15,1168491167,1168491262,95,0.15789473684210525,10930.0
118,3,1168502287,1168502287,0,inf,11025.0
119,3,1168513311,1168513312,1,3.0,11024.0
120,8,1168516570,1168516571,1,8.0,3258.0
121,11,1168516967,1168516968,1,11.0,396.0
122,5,1168517382,1168517500,118,0.0423728813559322,414.0
123,2,1168524243,1168524336,93,0.021505376344086023,6743.0
124,1,1168525050,1168525050,0,inf,714.0
125,1,1168525494,1168525494,0,inf,444.0
126,1,1168530529,1168530529,0,inf,5035.0
127,3,1168535267,1168535361,94,0.031914893617021274,4738.0
128,1,1168536968,1168536968,0,inf,1607.0
129,3,1168537645,1168537668,23,0.13043478260869565,677.0
130,1,1168546386,1168546386,0,inf,8718.0
131,1,1168557411,1168557411,0,inf,11025.0
132,7,1168559205,1168559215,10,0.7,1794.0
133,3,1168567474,1168567476,2,1.5,8259.0
134,1,1168568436,1168568436,0,inf,960.0
135,6,1168579349,1168579461,112,0.05357142857142857,10913.0
136,3,1168583768,1168583768,0,inf,4307.0
137,6,1168587095,1168587157,62,0.0967741935483871,3327.0
138,3,1168590486,1168590486,0,inf,3329.0
139,1,1168606677,1168606677,0,inf,16191.0
140,3,1168611059,1168611059,0,inf,4382.0
141,2,1168612536,1168612536,0,inf,1477.0
142,2,1168614317,1168614377,60,0.03333333333333333,1781.0
143,1,1168623561,1168623561,0,inf,9184.0
144,6,1168634460,1168634585,125,0.048,10899.0
145,3,1168635603,1168635603,0,inf,1018.0
146,1,1168638481,1168638481,0,inf,2878.0
147,3,1168656635,1168656635,0,inf,18154.0
148,5,1168662299,1168662299,0,inf,5664.0
