timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687018086365,2,HTTP Request,200,OK,TG_1_Small_1000 1-1,text,true,,288,137,1,1,http://192.168.56.101/small/test1_small.txt,2,0,1
1687018086398,2,HTTP Request,200,OK,TG_1_Small_1000 1-2,text,true,,288,137,2,2,http://192.168.56.101/small/test1_small.txt,2,0,1
1687018086424,1,HTTP Request,200,OK,TG_1_Small_1000 1-1,text,true,,286,137,2,2,http://192.168.56.101/small/test2_small.txt,1,0,0
1687018086431,1,HTTP Request,200,OK,TG_1_Small_1000 1-3,text,true,,288,137,3,3,http://192.168.56.101/small/test1_small.txt,1,0,0
1687018086463,2,HTTP Request,200,OK,TG_1_Small_1000 1-4,text,true,,288,137,4,4,http://192.168.56.101/small/test1_small.txt,2,0,2
1687018086496,2,HTTP Request,200,OK,TG_1_Small_1000 1-5,text,true,,288,137,5,5,http://192.168.56.101/small/test1_small.txt,2,0,1
1687018086518,1,HTTP Request,200,OK,TG_1_Small_1000 1-2,text,true,,286,137,5,5,http://192.168.56.101/small/test2_small.txt,1,0,0
1687018086529,1,HTTP Request,200,OK,TG_1_Small_1000 1-6,text,true,,288,137,6,6,http://192.168.56.101/small/test1_small.txt,1,0,1
1687018086544,0,HTTP Request,200,OK,TG_1_Small_1000 1-1,text,true,,286,137,6,6,http://192.168.56.101/small/test3_small.txt,0,0,0
1687018086562,2,HTTP Request,200,OK,TG_1_Small_1000 1-7,text,true,,288,137,7,7,http://192.168.56.101/small/test1_small.txt,2,0,1
1687018086595,2,HTTP Request,200,OK,TG_1_Small_1000 1-8,text,true,,288,137,8,8,http://192.168.56.101/small/test1_small.txt,2,0,1
1687018086611,1,HTTP Request,200,OK,TG_1_Small_1000 1-3,text,true,,286,137,8,8,http://192.168.56.101/small/test2_small.txt,1,0,0
1687018086628,2,HTTP Request,200,OK,TG_1_Small_1000 1-9,text,true,,288,137,9,9,http://192.168.56.101/small/test1_small.txt,2,0,1
1687018086661,2,HTTP Request,200,OK,TG_1_Small_1000 1-10,text,true,,288,137,10,10,http://192.168.56.101/small/test1_small.txt,2,0,1
1687018086694,2,HTTP Request,200,OK,TG_1_Small_1000 1-11,text,true,,288,137,11,11,http://192.168.56.101/small/test1_small.txt,2,0,1
1687018086703,0,HTTP Request,200,OK,TG_1_Small_1000 1-4,text,true,,286,137,11,11,http://192.168.56.101/small/test2_small.txt,0,0,0
1687018086728,1,HTTP Request,200,OK,TG_1_Small_1000 1-12,text,true,,288,137,12,12,http://192.168.56.101/small/test1_small.txt,1,0,0
1687018086761,1,HTTP Request,200,OK,TG_1_Small_1000 1-13,text,true,,288,137,13,13,http://192.168.56.101/small/test1_small.txt,1,0,1
1687018086793,2,HTTP Request,200,OK,TG_1_Small_1000 1-14,text,true,,288,137,14,14,http://192.168.56.101/small/test1_small.txt,2,0,1
1687018086796,0,HTTP Request,200,OK,TG_1_Small_1000 1-5,text,true,,286,137,14,14,http://192.168.56.101/small/test2_small.txt,0,0,0
1687018086818,1,HTTP Request,200,OK,TG_1_Small_1000 1-2,text,true,,286,137,14,14,http://192.168.56.101/small/test3_small.txt,1,0,0
1687018086826,1,HTTP Request,200,OK,TG_1_Small_1000 1-15,text,true,,288,137,15,15,http://192.168.56.101/small/test1_small.txt,1,0,0
1687018086859,1,HTTP Request,200,OK,TG_1_Small_1000 1-16,text,true,,288,137,16,16,http://192.168.56.101/small/test1_small.txt,1,0,0
1687018086890,0,HTTP Request,200,OK,TG_1_Small_1000 1-6,text,true,,286,137,16,16,http://192.168.56.101/small/test2_small.txt,0,0,0
1687018086892,1,HTTP Request,200,OK,TG_1_Small_1000 1-17,text,true,,288,137,17,17,http://192.168.56.101/small/test1_small.txt,1,0,1
1687018086904,1,HTTP Request,200,OK,TG_1_Small_1000 1-1,text,true,,287,137,17,17,http://192.168.56.101/small/test1_small.txt,1,0,0
1687018086925,1,HTTP Request,200,OK,TG_1_Small_1000 1-18,text,true,,288,137,18,18,http://192.168.56.101/small/test1_small.txt,1,0,1
1687018086958,2,HTTP Request,200,OK,TG_1_Small_1000 1-19,text,true,,288,137,19,19,http://192.168.56.101/small/test1_small.txt,2,0,1
1687018086983,0,HTTP Request,200,OK,TG_1_Small_1000 1-7,text,true,,286,137,19,19,http://192.168.56.101/small/test2_small.txt,0,0,0
1687018086991,1,HTTP Request,200,OK,TG_1_Small_1000 1-20,text,true,,288,137,20,20,http://192.168.56.101/small/test1_small.txt,1,0,0
1687018087024,1,HTTP Request,200,OK,TG_1_Small_1000 1-21,text,true,,288,137,21,21,http://192.168.56.101/small/test1_small.txt,1,0,1
1687018087057,1,HTTP Request,200,OK,TG_1_Small_1000 1-22,text,true,,288,137,22,22,http://192.168.56.101/small/test1_small.txt,1,0,0
1687018087075,0,HTTP Request,200,OK,TG_1_Small_1000 1-8,text,true,,286,137,22,22,http://192.168.56.101/small/test2_small.txt,0,0,0
1687018087090,1,HTTP Request,200,OK,TG_1_Small_1000 1-3,text,true,,286,137,23,23,http://192.168.56.101/small/test3_small.txt,1,0,0
1687018087091,1,HTTP Request,200,OK,TG_1_Small_1000 1-23,text,true,,288,137,23,23,http://192.168.56.101/small/test1_small.txt,1,0,1
1687018087124,2,HTTP Request,200,OK,TG_1_Small_1000 1-24,text,true,,288,137,24,24,http://192.168.56.101/small/test1_small.txt,2,0,1
1687018087156,1,HTTP Request,200,OK,TG_1_Small_1000 1-25,text,true,,288,137,25,25,http://192.168.56.101/small/test1_small.txt,1,0,1
1687018087168,1,HTTP Request,200,OK,TG_1_Small_1000 1-9,text,true,,286,137,25,25,http://192.168.56.101/small/test2_small.txt,1,0,0
1687018087189,2,HTTP Request,200,OK,TG_1_Small_1000 1-26,text,true,,288,137,26,26,http://192.168.56.101/small/test1_small.txt,2,0,1
1687018087222,1,HTTP Request,200,OK,TG_1_Small_1000 1-27,text,true,,288,137,27,27,http://192.168.56.101/small/test1_small.txt,1,0,0
1687018087255,1,HTTP Request,200,OK,TG_1_Small_1000 1-28,text,true,,288,137,28,28,http://192.168.56.101/small/test1_small.txt,1,0,1
1687018087262,0,HTTP Request,200,OK,TG_1_Small_1000 1-10,text,true,,286,137,28,28,http://192.168.56.101/small/test2_small.txt,0,0,0
1687018087289,1,HTTP Request,200,OK,TG_1_Small_1000 1-29,text,true,,288,137,29,29,http://192.168.56.101/small/test1_small.txt,1,0,0
1687018087321,1,HTTP Request,200,OK,TG_1_Small_1000 1-30,text,true,,288,137,30,30,http://192.168.56.101/small/test1_small.txt,1,0,0
1687018087355,0,HTTP Request,200,OK,TG_1_Small_1000 1-11,text,true,,286,137,30,30,http://192.168.56.101/small/test2_small.txt,0,0,0
1687018087363,1,HTTP Request,200,OK,TG_1_Small_1000 1-4,text,true,,286,137,30,30,http://192.168.56.101/small/test3_small.txt,1,0,0
1687018087449,0,HTTP Request,200,OK,TG_1_Small_1000 1-12,text,true,,286,137,30,30,http://192.168.56.101/small/test2_small.txt,0,0,0
1687018087541,0,HTTP Request,200,OK,TG_1_Small_1000 1-13,text,true,,286,137,30,30,http://192.168.56.101/small/test2_small.txt,0,0,0
