procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 997448 229136  77160 1116452    0    0     0     0 14938 1018  0 69 31  0  0
 4  0 997448 229136  77160 1116452    0    0     0     0 15812 1306  3 82 14  0  0
 0  0 997448 229136  77168 1116456    0    0     0    16 8965  825  1 35 61  2  0
 2  0 997448 229136  77168 1116456    0    0     0     0 8170  658  0 32 68  0  0
 1  0 997448 229136  77168 1116460    0    0     0     0 15244 1203  1 81 18  0  0
 1  0 997448 229136  77168 1116464    0    0     0     0 16587 1150  3 76 20  0  0
 1  0 997448 229136  77168 1116464    0    0     0     0 6607  632  1 25 74  0  0
 1  0 997448 229136  77176 1116468    0    0     0    20 11498  954  0 55 45  0  0
 1  0 997448 229136  77176 1116468    0    0     0     0 16999 1301  2 81 17  0  0
 0  0 997448 229136  77176 1116472    0    0     0     0 11595  877  1 53 46  0  0
 0  0 997448 229136  77176 1116476    0    0     0     0 7161  690  1 27 72  0  0
 1  0 997448 229136  77176 1116476    0    0     0     0 15256 1059  2 72 26  0  0
 3  0 997448 229136  77184 1116476    0    0     0    16 15340 1144  3 77 19  0  0
 1  0 997448 229136  77184 1116480    0    0     0    20 7746  737  2 34 64  0  0
 2  0 997448 229136  77184 1116484    0    0     0     0 10503  765  1 43 56  0  0
 6  0 997448 229136  77184 1116484    0    0     0     0 15484 1101  1 81 18  0  0
 0  0 997448 229136  77184 1116488    0    0     0     0 15134 1140  3 69 27  0  0
 0  0 997448 229136  77192 1116484    0    0     0    24 3685  515  0 12 86  2  0
 3  0 997448 229136  77192 1116492    0    0     0     0 13160  932  1 70 29  0  0
 2  0 997448 229136  77192 1116492    0    0     0     4 15904 1209  1 82 17  0  0
 0  0 997448 229136  77192 1116496    0    0     0     0 10065  898  1 47 52  0  0
 1  0 997448 229136  77192 1116500    0    0     0     0 9148  718  0 39 61  0  0
 1  0 997448 229136  77200 1116496    0    0     0    16 15412 1117  0 83 17  0  0
 2  0 997448 229136  77200 1116508    0    0     0     0 15517 1040  0 70 30  0  0
 1  0 997448 229136  77200 1116512    0    0     0   116 6015  622  0 22 78  0  0
 1  0 997448 229136  77200 1116512    0    0     0     0 12664  900  2 55 43  0  0
 0  0 997448 229136  77200 1116512    0    0     0     0 15417 1047  0 83 17  0  0
 0  0 997448 229136  77208 1116508    0    0     0    36 11844  902  1 48 49  2  0
 2  0 997448 229136  77208 1116520    0    0     0     0 7545  723  1 31 68  0  0
 3  0 997448 229136  77208 1116520    0    0     0     0 14458 1045  0 74 26  0  0
 0  0 997448 229136  77208 1116524    0    0     0     0 15429 1031  2 71 27  0  0
 0  0 997448 229136  77208 1116524    0    0     0     0 7408  689  2 28 70  0  0
 1  0 997448 229136  77216 1116520    0    0     0    20 10285  893  1 46 53  0  0
 2  0 997448 229136  77216 1116528    0    0     0     0 16510 1066  2 81 17  0  0
 0  0 997448 229136  77216 1116532    0    0     0     0 14366 1050  2 59 39  0  0
 0  0 997448 229136  77216 1116536    0    0     0     0 4229  512  1 14 85  0  0
 2  0 997448 229136  77216 1116536    0    0     0     0 15004 1002  1 69 30  0  0
 0  0 997448 229136  77224 1116532    0    0     0    20 16080 1056  2 79 17  1  0
 2  0 997448 229136  77224 1116540    0    0     0     0 8863  787  1 36 63  0  0
 2  0 997448 229136  77224 1116544    0    0     0    76 9222  665  1 34 65  0  0
 1  0 997448 229136  77224 1116544    0    0     0     0 16936 1144  2 82 16  0  0
 1  0 997448 229136  77224 1116548    0    0     0     0 15544  968  0 67 33  0  0
 0  0 997448 229136  77232 1116544    0    0     0    28 5395  581  0 18 81  1  0
 0  0 997448 229136  77232 1116552    0    0     0     0 12533  906  0 58 42  0  0
 2  0 997448 229136  77232 1116556    0    0     0     0 15902 1069  2 82 16  0  0
 0  0 997448 229136  77232 1116556    0    0     0     0 11613  855  1 45 54  0  0
 0  0 997448 229136  77232 1116560    0    0     0     0 7250  640  0 27 73  0  0
 2  0 997448 229136  77240 1116552    0    0     0    20 15326 1040  2 73 24  1  0
 1  0 997448 229136  77240 1116564    0    0     0     0 16358 1012  1 79 20  0  0
 1  0 997448 229136  77240 1116568    0    0     0     0 7702  742  1 31 68  0  0
 1  0 997448 229136  77240 1116568    0    0     0     0 10340  859  1 48 51  0  0
 1  0 997448 229136  77240 1116572    0    0     0     0 11053 1038  1 53 46  0  0
 2  0 997448 229136  77240 1116576    0    0     0     0 7379 1170  3 40 56  0  0
 5  0 997448 229136  77248 1116576    0    0     0    16 7577 1235  4 43 52  1  0
 3  0 997448 229136  77248 1116576    0    0     0     0 11851 1645  2 68 29  0  0
 4  0 997448 229136  77248 1116576    0    0     0     0 14337 1790  2 83 14  0  0
 1  0 997448 229136  77248 1116576    0    0     0     0 14262 1758  1 87 12  0  0
 1  0 997448 229136  77248 1116580    0    0     0     0 15730 1873  1 88 11  0  0
 4  0 997448 229136  77256 1116584    0    0     0    24 14225 1628  1 84 14  0  0
 0  0 997448 229136  77256 1116588    0    0     0     0 13919 1138  1 67 32  0  0
 5  0 997448 229136  77256 1116588    0    0     0     0 16396 1196  1 74 24  0  0
 6  0 997448 229136  77256 1116592    0    0     0     0 15486 1444  2 82 16  0  0
 3  0 997448 229136  77256 1116592    0    0     0     0 15354 1473  1 84 15  0  0
 1  0 997448 229136  77264 1116596    0    0     0    20 16963 1418  3 83 14  0  0
 1  0 997448 229136  77264 1116596    0    0     0     0 16609 1345  1 83 16  0  0
 1  0 997448 229136  77264 1116600    0    0     0     0 13807  898  1 57 42  0  0
 1  0 997448 229136  77264 1116604    0    0     0     0 14946 1140  1 81 18  0  0
10  0 997448 229136  77264 1116604    0    0     0     0 15431 1296  0 84 16  0  0
 2  0 997448 229136  77272 1116608    0    0     0    16 15227 1393  3 84 13  0  0
 2  0 997448 229136  77272 1116608    0    0     0     0 16136 1237  3 83 14  0  0
 0  0 997448 229136  77272 1116612    0    0     0    92 14736 1059  1 64 35  0  0
 1  0 997448 229136  77272 1116616    0    0     0     0 15376 1054  2 79 19  0  0
 5  0 997448 229136  77272 1116620    0    0     0     0 15546 1168  0 84 16  0  0
 3  0 997448 227568  77280 1116620    0    0     0    32 16842 1229  2 80 17  1  0
 3  0 997448 227568  77280 1116624    0    0     0     0 16325 1152  1 83 16  0  0
 0  0 997448 227568  77280 1116628    0    0     0    20 15043 1012  2 71 27  0  0
 2  0 997448 227568  77280 1116632    0    0     0     0 15273  997  1 68 31  0  0
 4  0 997448 227568  77280 1116632    0    0     0     0 16730 1143  3 79 18  0  0
 3  0 997448 227568  77288 1116632    0    0     0    16 16249 1139  2 84 13  0  0
 1  0 997448 224656  77288 1116636    0    0     0     0 16161 1183  1 83 16  0  0
 1  0 997448 224656  77288 1116636    0    0     0     0 16485 1170  2 82 15  0  0
 1  0 997448 224656  77288 1116640    0    0     0     0 12698  804  2 55 43  0  0
 2  0 997448 224656  77288 1116644    0    0     0     0 16252 1091  0 84 16  0  0
 3  0 997448 224656  77296 1116636    0    0     0    20 16198 1141  1 83 15  1  0
 1  0 997448 217912  77296 1116648    0    0     0     0 14443 1050  1 79 20  0  0
 3  0 997448 217912  77296 1116648    0    0     0     0 16004 1083  1 81 18  0  0
 1  0 997448 225116  77296 1116652    0    0     0     0 14333  986  2 77 20  0  0
 1  0 997448 224868  77296 1116656    0    0     0     0 15962  983  2 78 20  0  0
 2  0 997448 224368  77304 1116648    0    0     0    16 16127 1135  1 80 19  0  0
 3  0 997448 218520  77304 1116660    0    0     0     0 16037 1134  1 82 17  0  0
 1  0 997448 217596  77304 1116660    0    0     0     0 15249 1074  1 84 15  0  0
 1  0 997448 219372  77304 1116664    0    0     0     0 17051 1096  0 82 18  0  0
 0  0 997448 224804  77304 1116668    0    0     0     0 13606  962  3 59 38  0  0
 1  0 997448 224304  77304 1116668    0    0     0     0 16371 1056  1 83 16  0  0
 0  0 997448 224304  77312 1116668    0    0     0    24 16985 1157  0 83 17  0  0
 0  0 997448 220024  77312 1116672    0    0     0     0 15713 1087  3 80 16  0  0
 0  0 997448 220024  77312 1116672    0    0     0     0 16135 1129  1 80 19  0  0
 0  0 997448 224904  77320 1116672    0    0     0    44 12328  849  2 55 41  1  0
 1  0 997448 224152  77328 1116776    0    0     0    52 17152 1471  4 83 12  0  0
 0  0 997448 224152  77328 1116816    0    0     0     0 16585 1109  2 82 16  0  0
 1  0 997448 220320  77328 1116820    0    0     0   944 15132 1119  2 82 16  0  0
 0  0 997448 220320  77328 1116820    0    0     0     0 15703 1122  2 81 17  0  0
 0  0 997448 222876  77328 1116824    0    0     0     0 12722  905  2 61 37  0  0
