3667;;;
3665;;;
3854;;;2026,007859
3896;;;
3964;;;
3309;;;
3461;;;
3888;;;
3363;;;
3694;;;
3100;;;
3901;;;
3606;;;
3544;;;
3682;;;
3488;;;
3095;;;
3328;;;
3596;;;
3468;;;
3252;;;
3815;;;
3688;;;
3759;;;
3357;;;
3465;;;
3301;;;
3279;;;
3424;;;
1413;;;
1620;;;
1664;;;
1534;;;
1705;;;
1727;;;
1819;;;
1849;;;
2049;;;
2094;;;
1992;;;
2048;;;
2107;;;
2005;;;
2085;;;
2016;;;
2023;;;
1992;;;
2162;;;
2032;;;
1898;;;
2044;;;
1879;;;
1814;;;
1990;;;
1794;;;
2025;;;
1865;;;
1968;;;
6152;;;
84;;;
177;;;
891;;;
1261;;;
1542;;;
1952;;;
2047;;;
2149;;;
2174;;;
2162;;;
2257;;;
2329;;;
2340;;;
2297;;;
2355;;;
2372;;;
2264;;;
2315;;;
2254;;;
2418;;;
2251;;;
2062;;;
2107;;;
2013;;;
2227;;;
2000;;;
2171;;;
2216;;;
2316;;;
2134;;;
291;;;
239;;;
705;;;
1656;;;
1678;;;
2101;;;
2226;;;
2345;;;
2394;;;
2419;;;
2411;;;
2405;;;
2542;;;
2499;;;
2416;;;
2652;;;
2328;;;
2573;;;
2151;;;
2452;;;
2572;;;
2159;;;
2300;;;
2655;;;
2286;;;
2482;;;
2456;;;
2394;;;
2376;;;
2277;;;
447;;;
245;;;
1039;;;
1448;;;
1469;;;
1758;;;
1804;;;
1936;;;
2005;;;
2166;;;
2197;;;
2284;;;
2283;;;
2290;;;
2359;;;
2228;;;
2429;;;
2084;;;
1966;;;
2265;;;
2198;;;
2136;;;
2454;;;
1969;;;
2203;;;
2073;;;
2371;;;
2124;;;
2291;;;
2073;;;
245;;;
147;;;
788;;;
1197;;;
1346;;;
1588;;;
1613;;;
1614;;;
2029;;;
2029;;;
2055;;;
2100;;;
2039;;;
2135;;;
2110;;;
1970;;;
2216;;;
2107;;;
2241;;;
2002;;;
2193;;;
1927;;;
2078;;;
1880;;;
2149;;;
1853;;;
2018;;;
2003;;;
1933;;;
1838;;;
99;;;
229;;;
1203;;;
1466;;;
1649;;;
1815;;;
1926;;;
1930;;;
2123;;;
2168;;;
2286;;;
2266;;;
2318;;;
2323;;;
2290;;;
2305;;;
2141;;;
2357;;;
2026;;;
2130;;;
2300;;;
2279;;;
2246;;;
1994;;;
1930;;;
2031;;;
2201;;;
2136;;;
2107;;;
1975;;;
221;;;
210;;;
1050;;;
1613;;;
1719;;;
1893;;;
1939;;;
1912;;;
2123;;;
2202;;;
2221;;;
2179;;;
2216;;;
2200;;;
2173;;;
2316;;;
2306;;;
2168;;;
2302;;;
2162;;;
2262;;;
2066;;;
2312;;;
2147;;;
1949;;;
2117;;;
2226;;;
2030;;;
2072;;;
2011;;;
228;;;
512;;;
861;;;
1516;;;
1691;;;
1961;;;
2003;;;
2062;;;
2125;;;
2146;;;
2207;;;
2169;;;
2227;;;
2215;;;
2270;;;
2301;;;
2123;;;
2316;;;
2251;;;
2235;;;
2106;;;
2169;;;
2038;;;
2103;;;
2236;;;
1980;;;
2080;;;
2019;;;
1921;;;
1956;;;
189;;;
222;;;
1011;;;
1548;;;
1649;;;
1821;;;
1856;;;
1997;;;
2137;;;
2115;;;
2162;;;
2226;;;
2197;;;
2237;;;
2063;;;
2282;;;
2300;;;
2274;;;
2211;;;
2207;;;
2091;;;
1932;;;
1924;;;
2031;;;
2099;;;
2076;;;
1919;;;
2251;;;
2185;;;
2019;;;
161;;;
172;;;
795;;;
1360;;;
1557;;;
1744;;;
1890;;;
1908;;;
1975;;;
2155;;;
2266;;;
2240;;;
2293;;;
2118;;;
2375;;;
2360;;;
2354;;;
2407;;;
2047;;;
2164;;;
2330;;;
2111;;;
2314;;;
1960;;;
2028;;;
2160;;;
2075;;;
2010;;;
2241;;;
2308;;;
245;;;
187;;;
935;;;
1392;;;
1552;;;
1872;;;
1870;;;
1887;;;
2076;;;
2264;;;
2229;;;
2206;;;
2317;;;
2270;;;
2296;;;
2298;;;
2159;;;
2383;;;
2268;;;
2041;;;
2128;;;
2162;;;
1943;;;
2341;;;
2110;;;
2211;;;
2004;;;
2036;;;
2303;;;
2077;;;
232;;;
154;;;
711;;;
1064;;;
1610;;;
1722;;;
1900;;;
1883;;;
2082;;;
2219;;;
2135;;;
2223;;;
2285;;;
2253;;;
2268;;;
2282;;;
2338;;;
2142;;;
2260;;;
2229;;;
2202;;;
2107;;;
1986;;;
2029;;;
1929;;;
2103;;;
1969;;;
2068;;;
2174;;;
1911;;;
156;;;
151;;;
663;;;
1434;;;
1644;;;
1749;;;
1854;;;
1878;;;
2054;;;
2136;;;
2129;;;
2103;;;
2169;;;
2245;;;
2227;;;
2227;;;
2264;;;
2130;;;
2165;;;
2092;;;
2231;;;
2264;;;
2006;;;
1964;;;
1950;;;
2181;;;
2114;;;
1916;;;
2013;;;
2082;;;
182;;;
178;;;
728;;;
1337;;;
1549;;;
1886;;;
1934;;;
1943;;;
2129;;;
2246;;;
2301;;;
2216;;;
2309;;;
2325;;;
2321;;;
2360;;;
2349;;;
2192;;;
2272;;;
2247;;;
2321;;;
2162;;;
2110;;;
2211;;;
2083;;;
1958;;;
2158;;;
2033;;;
2065;;;
2013;;;
228;;;
139;;;
615;;;
1396;;;
1552;;;
1629;;;
1814;;;
1846;;;
1963;;;
2117;;;
2099;;;
2164;;;
2169;;;
2191;;;
2243;;;
2213;;;
2259;;;
2100;;;
2141;;;
2242;;;
2217;;;
2085;;;
1986;;;
2133;;;
2032;;;
2069;;;
1980;;;
1951;;;
1886;;;
1936;;;
167;;;
333;;;
544;;;
1493;;;
1572;;;
1677;;;
1896;;;
2002;;;
2087;;;
2142;;;
2239;;;
2197;;;
2256;;;
2293;;;
2129;;;
2353;;;
2323;;;
2320;;;
2212;;;
2290;;;
2266;;;
2141;;;
2051;;;
2094;;;
2040;;;
1973;;;
2145;;;
1946;;;
2016;;;
2215;;;
