timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687018300102,2,HTTP Request,200,OK,TG_1_Small_1500 1-1,text,true,,288,137,1,1,http://192.168.56.101/small/test1_small.txt,2,0,1
1687018300135,2,HTTP Request,200,OK,TG_1_Small_1500 1-2,text,true,,288,137,2,2,http://192.168.56.101/small/test1_small.txt,2,0,1
1687018300142,0,HTTP Request,200,OK,TG_1_Small_1500 1-1,text,true,,286,137,2,2,http://192.168.56.101/small/test2_small.txt,0,0,0
1687018300168,2,HTTP Request,200,OK,TG_1_Small_1500 1-3,text,true,,288,137,3,3,http://192.168.56.101/small/test1_small.txt,2,0,1
1687018300201,1,HTTP Request,200,OK,TG_1_Small_1500 1-4,text,true,,288,137,4,4,http://192.168.56.101/small/test1_small.txt,1,0,1
1687018300215,1,HTTP Request,200,OK,TG_1_Small_1500 1-2,text,true,,286,137,4,4,http://192.168.56.101/small/test2_small.txt,1,0,0
1687018300222,1,HTTP Request,200,OK,TG_1_Small_1500 1-1,text,true,,286,137,4,4,http://192.168.56.101/small/test3_small.txt,1,0,0
1687018300234,1,HTTP Request,200,OK,TG_1_Small_1500 1-5,text,true,,288,137,5,5,http://192.168.56.101/small/test1_small.txt,1,0,0
1687018300267,1,HTTP Request,200,OK,TG_1_Small_1500 1-6,text,true,,288,137,6,6,http://192.168.56.101/small/test1_small.txt,1,0,0
1687018300288,1,HTTP Request,200,OK,TG_1_Small_1500 1-3,text,true,,286,137,6,6,http://192.168.56.101/small/test2_small.txt,1,0,0
1687018300300,1,HTTP Request,200,OK,TG_1_Small_1500 1-7,text,true,,288,137,7,7,http://192.168.56.101/small/test1_small.txt,1,0,0
1687018300333,1,HTTP Request,200,OK,TG_1_Small_1500 1-8,text,true,,288,137,8,8,http://192.168.56.101/small/test1_small.txt,1,0,1
1687018300360,1,HTTP Request,200,OK,TG_1_Small_1500 1-4,text,true,,286,137,8,8,http://192.168.56.101/small/test2_small.txt,1,0,0
1687018300366,1,HTTP Request,200,OK,TG_1_Small_1500 1-9,text,true,,288,137,9,9,http://192.168.56.101/small/test1_small.txt,1,0,0
1687018300375,0,HTTP Request,200,OK,TG_1_Small_1500 1-2,text,true,,286,137,9,9,http://192.168.56.101/small/test3_small.txt,0,0,0
1687018300381,1,HTTP Request,200,OK,TG_1_Small_1500 1-1,text,true,,287,137,9,9,http://192.168.56.101/small/test1_small.txt,1,0,0
1687018300400,1,HTTP Request,200,OK,TG_1_Small_1500 1-10,text,true,,288,137,10,10,http://192.168.56.101/small/test1_small.txt,1,0,0
1687018300433,1,HTTP Request,200,OK,TG_1_Small_1500 1-5,text,true,,286,137,11,11,http://192.168.56.101/small/test2_small.txt,1,0,0
