timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687018569816,1,HTTP Request,200,OK,TG_1_Small_1500 1-1,text,true,,288,137,1,1,http://192.168.56.101/small/test1_small.txt,1,0,0
1687018569848,2,HTTP Request,200,OK,TG_1_Small_1500 1-2,text,true,,288,137,2,2,http://192.168.56.101/small/test1_small.txt,2,0,1
1687018569855,0,HTTP Request,200,OK,TG_1_Small_1500 1-1,text,true,,286,137,2,2,http://192.168.56.101/small/test2_small.txt,0,0,0
1687018569882,1,HTTP Request,200,OK,TG_1_Small_1500 1-3,text,true,,288,137,3,3,http://192.168.56.101/small/test1_small.txt,1,0,1
1687018569914,1,HTTP Request,200,OK,TG_1_Small_1500 1-4,text,true,,288,137,4,4,http://192.168.56.101/small/test1_small.txt,1,0,1
1687018569928,1,HTTP Request,200,OK,TG_1_Small_1500 1-2,text,true,,286,137,4,4,http://192.168.56.101/small/test2_small.txt,1,0,0
1687018569935,1,HTTP Request,200,OK,TG_1_Small_1500 1-1,text,true,,286,137,4,4,http://192.168.56.101/small/test3_small.txt,1,0,0
1687018569956,1,HTTP Request,200,OK,TG_1_Small_1500 1-5,text,true,,288,137,5,5,http://192.168.56.101/small/test1_small.txt,1,0,0
1687018569980,1,HTTP Request,200,OK,TG_1_Small_1500 1-6,text,true,,288,137,6,6,http://192.168.56.101/small/test1_small.txt,1,0,1
1687018570002,1,HTTP Request,200,OK,TG_1_Small_1500 1-3,text,true,,286,137,6,6,http://192.168.56.101/small/test2_small.txt,1,0,0
1687018570014,2,HTTP Request,200,OK,TG_1_Small_1500 1-7,text,true,,288,137,7,7,http://192.168.56.101/small/test1_small.txt,2,0,1
1687018570047,2,HTTP Request,200,OK,TG_1_Small_1500 1-8,text,true,,288,137,8,8,http://192.168.56.101/small/test1_small.txt,2,0,1
1687018570074,1,HTTP Request,200,OK,TG_1_Small_1500 1-4,text,true,,286,137,8,8,http://192.168.56.101/small/test2_small.txt,1,0,0
1687018570080,1,HTTP Request,200,OK,TG_1_Small_1500 1-9,text,true,,288,137,9,9,http://192.168.56.101/small/test1_small.txt,1,0,1
1687018570087,1,HTTP Request,200,OK,TG_1_Small_1500 1-2,text,true,,286,137,9,9,http://192.168.56.101/small/test3_small.txt,1,0,0
1687018570095,1,HTTP Request,200,OK,TG_1_Small_1500 1-1,text,true,,287,137,9,9,http://192.168.56.101/small/test1_small.txt,1,0,0
1687018570112,2,HTTP Request,200,OK,TG_1_Small_1500 1-10,text,true,,288,137,10,10,http://192.168.56.101/small/test1_small.txt,2,0,1
1687018570145,2,HTTP Request,200,OK,TG_1_Small_1500 1-11,text,true,,288,137,11,11,http://192.168.56.101/small/test1_small.txt,2,0,1
1687018570156,0,HTTP Request,200,OK,TG_1_Small_1500 1-5,text,true,,286,137,11,11,http://192.168.56.101/small/test2_small.txt,0,0,0
1687018570178,2,HTTP Request,200,OK,TG_1_Small_1500 1-12,text,true,,288,137,12,12,http://192.168.56.101/small/test1_small.txt,2,0,1
1687018570211,2,HTTP Request,200,OK,TG_1_Small_1500 1-13,text,true,,288,137,13,13,http://192.168.56.101/small/test1_small.txt,2,0,1
1687018570220,0,HTTP Request,200,OK,TG_1_Small_1500 1-6,text,true,,286,137,13,13,http://192.168.56.101/small/test2_small.txt,0,0,0
1687018570242,1,HTTP Request,200,OK,TG_1_Small_1500 1-3,text,true,,286,137,13,13,http://192.168.56.101/small/test3_small.txt,1,0,0
