timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687017923215,2,HTTP Request,200,OK,TG_1_Small_1000 1-1,text,true,,288,137,1,1,http://192.168.56.101/small/test1_small.txt,2,0,1
1687017923247,2,HTTP Request,200,OK,TG_1_Small_1000 1-2,text,true,,288,137,2,2,http://192.168.56.101/small/test1_small.txt,2,0,1
1687017923274,1,HTTP Request,200,OK,TG_1_Small_1000 1-1,text,true,,286,137,2,2,http://192.168.56.101/small/test2_small.txt,1,0,0
1687017923280,2,HTTP Request,200,OK,TG_1_Small_1000 1-3,text,true,,288,137,3,3,http://192.168.56.101/small/test1_small.txt,2,0,1
1687017923313,2,HTTP Request,200,OK,TG_1_Small_1000 1-4,text,true,,288,137,4,4,http://192.168.56.101/small/test1_small.txt,1,0,1
1687017923346,2,HTTP Request,200,OK,TG_1_Small_1000 1-5,text,true,,288,137,5,5,http://192.168.56.101/small/test1_small.txt,2,0,1
1687017923367,1,HTTP Request,200,OK,TG_1_Small_1000 1-2,text,true,,286,137,5,5,http://192.168.56.101/small/test2_small.txt,1,0,0
1687017923379,1,HTTP Request,200,OK,TG_1_Small_1000 1-6,text,true,,288,137,6,6,http://192.168.56.101/small/test1_small.txt,1,0,1
1687017923395,1,HTTP Request,200,OK,TG_1_Small_1000 1-1,text,true,,286,137,6,6,http://192.168.56.101/small/test3_small.txt,1,0,0
1687017923413,1,HTTP Request,200,OK,TG_1_Small_1000 1-7,text,true,,288,137,7,7,http://192.168.56.101/small/test1_small.txt,1,0,1
1687017923445,2,HTTP Request,200,OK,TG_1_Small_1000 1-8,text,true,,288,137,8,8,http://192.168.56.101/small/test1_small.txt,2,0,1
1687017923461,0,HTTP Request,200,OK,TG_1_Small_1000 1-3,text,true,,286,137,8,8,http://192.168.56.101/small/test2_small.txt,0,0,0
1687017923478,1,HTTP Request,200,OK,TG_1_Small_1000 1-9,text,true,,288,137,9,9,http://192.168.56.101/small/test1_small.txt,1,0,1
1687017923511,2,HTTP Request,200,OK,TG_1_Small_1000 1-10,text,true,,288,137,10,10,http://192.168.56.101/small/test1_small.txt,2,0,1
1687017923544,2,HTTP Request,200,OK,TG_1_Small_1000 1-11,text,true,,288,137,11,11,http://192.168.56.101/small/test1_small.txt,2,0,1
1687017923553,1,HTTP Request,200,OK,TG_1_Small_1000 1-4,text,true,,286,137,11,11,http://192.168.56.101/small/test2_small.txt,1,0,0
1687017923577,2,HTTP Request,200,OK,TG_1_Small_1000 1-12,text,true,,288,137,12,12,http://192.168.56.101/small/test1_small.txt,2,0,2
1687017923610,2,HTTP Request,200,OK,TG_1_Small_1000 1-13,text,true,,288,137,13,13,http://192.168.56.101/small/test1_small.txt,2,0,1
1687017923644,2,HTTP Request,200,OK,TG_1_Small_1000 1-14,text,true,,288,137,14,14,http://192.168.56.101/small/test1_small.txt,2,0,1
1687017923646,1,HTTP Request,200,OK,TG_1_Small_1000 1-5,text,true,,286,137,14,14,http://192.168.56.101/small/test2_small.txt,1,0,0
1687017923667,1,HTTP Request,200,OK,TG_1_Small_1000 1-2,text,true,,286,137,14,14,http://192.168.56.101/small/test3_small.txt,1,0,0
1687017923677,2,HTTP Request,200,OK,TG_1_Small_1000 1-15,text,true,,288,137,15,15,http://192.168.56.101/small/test1_small.txt,2,0,1
1687017923710,2,HTTP Request,200,OK,TG_1_Small_1000 1-16,text,true,,288,137,16,16,http://192.168.56.101/small/test1_small.txt,2,0,1
1687017923739,0,HTTP Request,200,OK,TG_1_Small_1000 1-6,text,true,,286,137,16,16,http://192.168.56.101/small/test2_small.txt,0,0,0
1687017923742,2,HTTP Request,200,OK,TG_1_Small_1000 1-17,text,true,,288,137,17,17,http://192.168.56.101/small/test1_small.txt,2,0,1
1687017923754,1,HTTP Request,200,OK,TG_1_Small_1000 1-1,text,true,,287,137,17,17,http://192.168.56.101/small/test1_small.txt,1,0,0
1687017923775,2,HTTP Request,200,OK,TG_1_Small_1000 1-18,text,true,,288,137,18,18,http://192.168.56.101/small/test1_small.txt,2,0,1
1687017923807,2,HTTP Request,200,OK,TG_1_Small_1000 1-19,text,true,,288,137,19,19,http://192.168.56.101/small/test1_small.txt,2,0,1
1687017923833,1,HTTP Request,200,OK,TG_1_Small_1000 1-7,text,true,,286,137,19,19,http://192.168.56.101/small/test2_small.txt,1,0,0
1687017923841,3,HTTP Request,200,OK,TG_1_Small_1000 1-20,text,true,,288,137,20,20,http://192.168.56.101/small/test1_small.txt,3,0,2
1687017923876,2,HTTP Request,200,OK,TG_1_Small_1000 1-21,text,true,,288,137,21,21,http://192.168.56.101/small/test1_small.txt,2,0,1
1687017923908,2,HTTP Request,200,OK,TG_1_Small_1000 1-22,text,true,,288,137,22,22,http://192.168.56.101/small/test1_small.txt,2,0,1
1687017923925,1,HTTP Request,200,OK,TG_1_Small_1000 1-8,text,true,,286,137,22,22,http://192.168.56.101/small/test2_small.txt,1,0,0
