Interarrival_DEV,Interarrival_MEM,Interarrival_I-O,Interarrival_NET,Interarrival_PRO,Interarrival_OTH
22370.0,,,,,
25525.0,,,,,
1163.0,,,,,
11989.0,,,,,
36326.0,,,,,
2031.0,,,,,
957.0,,,,,
287.0,,,,,
548.0,,,,,
16575.0,,,,,
33511.0,,,,,
5031.0,,,,,
2843.0,,,,,
647.0,,,,,
3291.0,,,,,
336.0,,,,,
1317.0,,,,,
248.0,,,,,
289.0,,,,,
1323.0,,,,,
1352.0,,,,,
231.0,,,,,
209.0,,,,,
9649.0,,,,,
311.0,,,,,
22908.0,,,,,
281.0,,,,,
3173.0,,,,,
4326.0,,,,,
264.0,,,,,
519.0,,,,,
512.0,,,,,
7008.0,,,,,
1796.0,,,,,
2219.0,,,,,
1379.0,,,,,
3212.0,,,,,
593.0,,,,,
2196.0,,,,,
362.0,,,,,
3220.0,,,,,
3883.0,,,,,
2138.0,,,,,
4169.0,,,,,
16310.0,,,,,
66067.0,,,,,
320.0,,,,,
234.0,,,,,
231.0,,,,,
276.0,,,,,
221.0,,,,,
240.0,,,,,
1138.0,,,,,
793.0,,,,,
231.0,,,,,
224.0,,,,,
929.0,,,,,
311.0,,,,,
245.0,,,,,
1157.0,,,,,
230.0,,,,,
963.0,,,,,
208.0,,,,,
626.0,,,,,
253.0,,,,,
2434.0,,,,,
312.0,,,,,
1129.0,,,,,
218.0,,,,,
238.0,,,,,
206.0,,,,,
1008.0,,,,,
1042.0,,,,,
951.0,,,,,
1065.0,,,,,
7370.0,,,,,
279.0,,,,,
280.0,,,,,
256.0,,,,,
911.0,,,,,
204.0,,,,,
272.0,,,,,
5489.0,,,,,
11025.0,,,,,
10414.0,,,,,
52687.0,,,,,
57932.0,,,,,
72438.0,,,,,
52235.0,,,,,
121261.0,,,,,
1374.0,,,,,
1257.0,,,,,
1647.0,,,,,
1279.0,,,,,
1251.0,,,,,
1088.0,,,,,
2134.0,,,,,
1244.0,,,,,
1171.0,,,,,
1506.0,,,,,
810.0,,,,,
232.0,,,,,
982.0,,,,,
558.0,,,,,
261.0,,,,,
1840.0,,,,,
120994.0,,,,,
592993.0,,,,,
15304.0,,,,,
85113.0,,,,,
309460.0,,,,,
263733.0,,,,,
368559.0,,,,,
59781.0,,,,,
4590.0,,,,,
24854.0,,,,,
22129.0,,,,,
171422.0,,,,,
69750.0,,,,,
3582.0,,,,,
9891.0,,,,,
11106.0,,,,,
347.0,,,,,
3066.0,,,,,
10254.0,,,,,
14841.0,,,,,
16976.0,,,,,
5244.0,,,,,
64299.0,,,,,
12608.0,,,,,
72848.0,,,,,
258.0,,,,,
23514.0,,,,,
64266.0,,,,,
28132.0,,,,,
12641.0,,,,,
72080.0,,,,,
5787.0,,,,,
193511.0,,,,,
21816.0,,,,,
2296.0,,,,,
3795.0,,,,,
16659.0,,,,,
12275.0,,,,,
54370.0,,,,,
25972.0,,,,,
11937.0,,,,,
13479.0,,,,,
12056.0,,,,,
3058.0,,,,,
73607.0,,,,,
52996.0,,,,,
