timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1686669087549,1,HTTP Request_4_1_small,200,OK,Thread_Group_4 4-1,text,true,,288,137,1,1,http://192.168.56.101/small/test1_small.txt,1,1,0,WINDOWS-CASA,0,0
1686669087581,2,HTTP Request_4_1_small,200,OK,Thread_Group_4 4-2,text,true,,288,137,2,2,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686669087608,0,HTTP Request_4_2_small,200,OK,Thread_Group_4 4-1,text,true,,286,137,2,2,http://192.168.56.101/small/test2_small.txt,0,1,0,WINDOWS-CASA,0,0
1686669087613,2,HTTP Request_4_1_small,200,OK,Thread_Group_4 4-3,text,true,,288,137,3,3,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686669087646,2,HTTP Request_4_1_small,200,OK,Thread_Group_4 4-4,text,true,,288,137,4,4,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686669087679,2,HTTP Request_4_1_small,200,OK,Thread_Group_4 4-5,text,true,,288,137,5,5,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686669087701,0,HTTP Request_4_2_small,200,OK,Thread_Group_4 4-2,text,true,,286,137,5,5,http://192.168.56.101/small/test2_small.txt,0,1,0,WINDOWS-CASA,0,0
1686669087714,2,HTTP Request_4_1_small,200,OK,Thread_Group_4 4-6,text,true,,288,137,6,6,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686669087728,1,HTTP Request_4_3_small,200,OK,Thread_Group_4 4-1,text,true,,286,137,6,6,http://192.168.56.101/small/test3_small.txt,1,1,0,WINDOWS-CASA,0,0
1686669087746,2,HTTP Request_4_1_small,200,OK,Thread_Group_4 4-7,text,true,,288,137,7,7,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686669087779,2,HTTP Request_4_1_small,200,OK,Thread_Group_4 4-8,text,true,,288,137,8,8,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686669087794,0,HTTP Request_4_2_small,200,OK,Thread_Group_4 4-3,text,true,,286,137,8,8,http://192.168.56.101/small/test2_small.txt,0,1,0,WINDOWS-CASA,0,0
1686669087811,2,HTTP Request_4_1_small,200,OK,Thread_Group_4 4-9,text,true,,288,137,9,9,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686669087845,1,HTTP Request_4_1_small,200,OK,Thread_Group_4 4-10,text,true,,288,137,10,10,http://192.168.56.101/small/test1_small.txt,1,1,0,WINDOWS-CASA,0,0
1686669087877,2,HTTP Request_4_1_small,200,OK,Thread_Group_4 4-11,text,true,,288,137,11,11,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686669087887,0,HTTP Request_4_2_small,200,OK,Thread_Group_4 4-4,text,true,,286,137,11,11,http://192.168.56.101/small/test2_small.txt,0,1,0,WINDOWS-CASA,0,0
1686669087910,2,HTTP Request_4_1_small,200,OK,Thread_Group_4 4-12,text,true,,288,137,12,12,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686669087944,2,HTTP Request_4_1_small,200,OK,Thread_Group_4 4-13,text,true,,288,137,13,13,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686669087977,1,HTTP Request_4_1_small,200,OK,Thread_Group_4 4-14,text,true,,288,137,14,14,http://192.168.56.101/small/test1_small.txt,1,1,0,WINDOWS-CASA,0,1
1686669087979,0,HTTP Request_4_2_small,200,OK,Thread_Group_4 4-5,text,true,,286,137,14,14,http://192.168.56.101/small/test2_small.txt,0,1,0,WINDOWS-CASA,0,0
