timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1686669026667,1,HTTP Request_3_1_small,200,OK,Thread_Group_3 3-1,text,true,,288,137,1,1,http://192.168.56.101/small/test1_small.txt,1,1,0,WINDOWS-CASA,0,1
1686669026701,2,HTTP Request_3_1_small,200,OK,Thread_Group_3 3-2,text,true,,288,137,2,2,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686669026727,1,HTTP Request_3_2_small,200,OK,Thread_Group_3 3-1,text,true,,286,137,2,2,http://192.168.56.101/small/test2_small.txt,1,1,0,WINDOWS-CASA,0,0
1686669026733,1,HTTP Request_3_1_small,200,OK,Thread_Group_3 3-3,text,true,,288,137,3,3,http://192.168.56.101/small/test1_small.txt,1,1,0,WINDOWS-CASA,0,0
1686669026765,2,HTTP Request_3_1_small,200,OK,Thread_Group_3 3-4,text,true,,288,137,4,4,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686669026798,2,HTTP Request_3_1_small,200,OK,Thread_Group_3 3-5,text,true,,288,137,5,5,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686669026821,1,HTTP Request_3_2_small,200,OK,Thread_Group_3 3-2,text,true,,286,137,5,5,http://192.168.56.101/small/test2_small.txt,1,1,0,WINDOWS-CASA,0,0
1686669026831,2,HTTP Request_3_1_small,200,OK,Thread_Group_3 3-6,text,true,,288,137,6,6,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686669026848,0,HTTP Request_3_3_small,200,OK,Thread_Group_3 3-1,text,true,,286,137,6,6,http://192.168.56.101/small/test3_small.txt,0,1,0,WINDOWS-CASA,0,0
1686669026864,2,HTTP Request_3_1_small,200,OK,Thread_Group_3 3-7,text,true,,288,137,7,7,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686669026898,2,HTTP Request_3_1_small,200,OK,Thread_Group_3 3-8,text,true,,288,137,8,8,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686669026913,0,HTTP Request_3_2_small,200,OK,Thread_Group_3 3-3,text,true,,286,137,8,8,http://192.168.56.101/small/test2_small.txt,0,1,0,WINDOWS-CASA,0,0
1686669026932,1,HTTP Request_3_1_small,200,OK,Thread_Group_3 3-9,text,true,,288,137,9,9,http://192.168.56.101/small/test1_small.txt,1,1,0,WINDOWS-CASA,0,0
1686669026963,2,HTTP Request_3_1_small,200,OK,Thread_Group_3 3-10,text,true,,288,137,10,10,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686669027006,2,HTTP Request_3_2_small,200,OK,Thread_Group_3 3-4,text,true,,286,137,10,10,http://192.168.56.101/small/test2_small.txt,2,1,0,WINDOWS-CASA,0,0
1686669027013,4,HTTP Request_3_1_small,200,OK,Thread_Group_3 3-11,text,true,,288,137,11,11,http://192.168.56.101/small/test1_small.txt,4,1,0,WINDOWS-CASA,0,2
1686669027030,2,HTTP Request_3_1_small,200,OK,Thread_Group_3 3-12,text,true,,288,137,12,12,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686669027063,2,HTTP Request_3_1_small,200,OK,Thread_Group_3 3-13,text,true,,288,137,13,13,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686669027097,2,HTTP Request_3_1_small,200,OK,Thread_Group_3 3-14,text,true,,288,137,14,14,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686669027099,1,HTTP Request_3_2_small,200,OK,Thread_Group_3 3-5,text,true,,286,137,14,14,http://192.168.56.101/small/test2_small.txt,1,1,0,WINDOWS-CASA,0,0
1686669027121,1,HTTP Request_3_3_small,200,OK,Thread_Group_3 3-2,text,true,,286,137,14,14,http://192.168.56.101/small/test3_small.txt,1,1,0,WINDOWS-CASA,0,0
