timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1686668905457,2,HTTP Request_1_1_small,200,OK,Thread_Group_1 1-1,text,true,,288,137,1,1,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686668905486,1,HTTP Request_1_1_small,200,OK,Thread_Group_1 1-2,text,true,,288,137,2,2,http://192.168.56.101/small/test1_small.txt,1,1,0,WINDOWS-CASA,0,1
1686668905512,1,HTTP Request_1_2_small,200,OK,Thread_Group_1 1-1,text,true,,286,137,2,2,http://192.168.56.101/small/test2_small.txt,1,1,0,WINDOWS-CASA,0,0
1686668905518,1,HTTP Request_1_1_small,200,OK,Thread_Group_1 1-3,text,true,,288,137,3,3,http://192.168.56.101/small/test1_small.txt,1,1,0,WINDOWS-CASA,0,0
1686668905550,2,HTTP Request_1_1_small,200,OK,Thread_Group_1 1-4,text,true,,288,137,4,4,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686668905583,2,HTTP Request_1_1_small,200,OK,Thread_Group_1 1-5,text,true,,288,137,5,5,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686668905606,1,HTTP Request_1_2_small,200,OK,Thread_Group_1 1-2,text,true,,286,137,5,5,http://192.168.56.101/small/test2_small.txt,1,1,0,WINDOWS-CASA,0,0
1686668905617,1,HTTP Request_1_1_small,200,OK,Thread_Group_1 1-6,text,true,,288,137,6,6,http://192.168.56.101/small/test1_small.txt,1,1,0,WINDOWS-CASA,0,0
1686668905632,1,HTTP Request_1_3_small,200,OK,Thread_Group_1 1-1,text,true,,286,137,6,6,http://192.168.56.101/small/test3_small.txt,1,1,0,WINDOWS-CASA,0,0
1686668905650,2,HTTP Request_1_1_small,200,OK,Thread_Group_1 1-7,text,true,,288,137,7,7,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686668905683,1,HTTP Request_1_1_small,200,OK,Thread_Group_1 1-8,text,true,,288,137,8,8,http://192.168.56.101/small/test1_small.txt,1,1,0,WINDOWS-CASA,0,0
1686668905699,0,HTTP Request_1_2_small,200,OK,Thread_Group_1 1-3,text,true,,286,137,8,8,http://192.168.56.101/small/test2_small.txt,0,1,0,WINDOWS-CASA,0,0
1686668905717,1,HTTP Request_1_1_small,200,OK,Thread_Group_1 1-9,text,true,,288,137,9,9,http://192.168.56.101/small/test1_small.txt,1,1,0,WINDOWS-CASA,0,0
1686668905749,2,HTTP Request_1_1_small,200,OK,Thread_Group_1 1-10,text,true,,288,137,10,10,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686668905781,2,HTTP Request_1_1_small,200,OK,Thread_Group_1 1-11,text,true,,288,137,11,11,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686668905790,1,HTTP Request_1_2_small,200,OK,Thread_Group_1 1-4,text,true,,286,137,11,11,http://192.168.56.101/small/test2_small.txt,1,1,0,WINDOWS-CASA,0,0
1686668905814,2,HTTP Request_1_1_small,200,OK,Thread_Group_1 1-12,text,true,,288,137,12,12,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
