procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 918480  97876  65372 1206224    0    0     0     0 4445  590  0 14 86  0  0
 0  0 918480  97876  65372 1206224    0    0     0     4 11000  858  2 48 50  0  0
 0  0 918480  97876  65372 1206228    0    0     0     0 10373  879  0 40 60  0  0
 6  0 918480  97876  65380 1206220    0    0     0    16 17040 1290  1 81 18  0  0
 5  0 918480  97876  65380 1206232    0    0     0     0 17797 1435  3 81 16  0  0
 2  0 918480  97628  65380 1206232    0    0     0     0 15159 1222  1 81 18  0  0
 4  0 918480  97628  65380 1206236    0    0     0     0 15237 1270  1 85 14  0  0
 6  0 918480  97628  65380 1206236    0    0     0     0 16320 1271  1 82 17  0  0
 2  0 918480  97628  65388 1206232    0    0     0    20 16618 1420  2 80 18  0  0
 0  0 918480  97628  65388 1206244    0    0     0     0 8326  785  1 36 63  0  0
 0  0 918480  97628  65388 1206248    0    0     0     0 1130  471  0  1 99  0  0
 0  0 918480  97628  65388 1206248    0    0     0    36 1084  421  1  2 97  0  0
 0  0 918480  97628  65388 1206252    0    0     0     0 1668  467  0  3 97  0  0
 0  0 918480  97628  65396 1206244    0    0     0    20 2297  523  1  4 95  0  0
 0  0 918480  97628  65396 1206256    0    0     0     0 3498  490  0 11 89  0  0
 0  0 918480  97628  65396 1206256    0    0     0     0 5459  588  1 17 82  0  0
 0  0 918480  97628  65396 1206260    0    0     0     0 5268  570  0 20 80  0  0
 1  0 918480  97628  65396 1206260    0    0     0     0 9232  748  1 39 60  0  0
 0  0 918480  97628  65396 1206264    0    0     0     0 8926  708  0 34 66  0  0
 2  0 918480  97628  65404 1206264    0    0     0    20 15689 1143  3 73 24  0  0
 1  0 918480  97628  65404 1206268    0    0     0     0 16490 1169  1 79 20  0  0
 3  0 918480  97628  65404 1206268    0    0     0    88 15726 1224  1 78 21  0  0
 1  0 918480  97628  65404 1206272    0    0     0     0 16356 1213  1 84 15  0  0
 2  0 918480  97180  65404 1206276    0    0     0     0 17301 1294  1 83 16  0  0
 1  0 918480  97180  65412 1206280    0    0     0    28 14620 1311  5 83 11  1  0
 0  0 918480  97180  65412 1206284    0    0     0     0 13783 1005  1 65 34  0  0
 0  0 918480  97180  65412 1206284    0    0     0     8 1170  525  0  1 99  0  0
 0  0 918480  97180  65412 1206288    0    0     0     0  923  354  0  0 100  0  0
 0  0 918480  97180  65412 1206292    0    0     0     0 1693  499  1  5 94  0  0
 0  0 918480  97180  65420 1206292    0    0     0    28 1481  414  0  4 93  3  0
 0  0 918480  97180  65420 1206296    0    0     0     0 4557  606  1 15 84  0  0
 2  0 918480  97180  65420 1206296    0    0     0     0 3056  489  0  9 91  0  0
 2  0 918480  97180  65420 1206300    0    0     0    28 6728  650  1 27 72  0  0
 1  0 918480  97180  65420 1206300    0    0     0     0 7447  694  1 30 69  0  0
 0  0 918480  97180  65428 1206304    0    0     0    20 8848  705  0 34 65  1  0
 5  0 918480  97180  65428 1206308    0    0     0     0 13818  973  1 58 41  0  0
 2  0 918480  97180  65428 1206308    0    0     0     0 17020 1106  6 76 17  0  0
 4  0 918480  97180  65428 1206312    0    0     0     0 18415 1218  2 82 16  0  0
 1  0 918480  97180  65428 1206312    0    0     0     0 16703 1184  1 81 18  0  0
 1  0 918480  94268  65436 1206312    0    0     0    20 17757 1235  1 83 15  1  0
 3  0 918480  94268  65436 1206316    0    0     0     0 16600 1206  0 81 19  0  0
 0  0 918480  96044  65436 1206320    0    0     0     0 14172  971  1 62 37  0  0
 0  0 918480  96076  65436 1206324    0    0     0    84  966  455  1  3 96  0  0
 0  0 918480  96076  65436 1206324    0    0     0     0 1049  377  0  1 99  0  0
 0  0 918480  96076  65444 1206328    0    0     0    28 1554  539  0  3 95  2  0
 0  0 918480  96076  65444 1206328    0    0     0     0 1359  377  0  3 97  0  0
 0  0 918480  96076  65444 1206332    0    0     0     0 4162  612  0 13 87  0  0
 1  0 918480  96076  65444 1206332    0    0     0     0 2222  414  1  7 92  0  0
 1  0 918480  96076  65444 1206336    0    0     0     0 6842  671  0 28 72  0  0
 0  0 918480  96076  65452 1206340    0    0     0    20 5769  562  0 22 78  0  0
 0  0 918480  96076  65452 1206340    0    0     0     0 10960  792  2 43 54  0  0
 1  0 918480  96076  65452 1206344    0    0     0     0 11451  914  3 49 47  0  0
 0  0 918480  96076  65452 1206344    0    0     0    56 16791 1125  1 79 20  0  0
 2  0 918480  96076  65452 1206348    0    0     0     0 8686  910  1 36 63  0  0
 0  0 918480  96076  65460 1206352    0    0     0    28 1190  637  0  1 97  2  0
 0  0 918480  96076  65460 1206356    0    0     0     0 1063  481  1  2 97  0  0
 2  0 918480  96076  65460 1206356    0    0     0     0 1599  555  0  5 95  0  0
 0  0 918480  96076  65460 1206360    0    0     0     0 1703  517  0  4 96  0  0
 0  0 918480  96076  65460 1206364    0    0     0     0 4549  701  2 14 84  0  0
 1  0 918480  96076  65468 1206364    0    0     0    24 3250  585  0 10 88  2  0
 1  0 918480  96076  65468 1206368    0    0     0     0 6599  677  0 26 74  0  0
 3  0 918480  96076  65468 1206368    0    0     0     0 6667  665  0 25 75  0  0
 1  0 918480  96076  65468 1206372    0    0     0    64 12256  949  0 47 53  0  0
 2  0 918480  96076  65468 1206372    0    0     0     0 15329 1094  1 61 38  0  0
 1  0 918480  96076  65476 1206376    0    0     0    28 17405 1269  1 79 18  2  0
 1  0 918480  96076  65476 1206376    0    0     0     0 16644 1328  2 81 17  0  0
 0  0 918480  95828  65476 1206376    0    0     0     0 16664 1518  3 80 17  0  0
 0  0 918480  95828  65476 1206380    0    0     0     0 15770 1367  8 78 14  0  0
 4  0 918480  95828  65476 1206384    0    0     0     0 15665 1342  3 79 18  0  0
 0  0 918480  95828  65484 1206388    0    0     0    20 15885 1346  1 73 26  0  0
 1  0 918480  95828  65484 1206388    0    0     0     0  930  436  1  2 97  0  0
 0  0 918480  95828  65484 1206392    0    0     0     0 1104  414  0  2 98  0  0
 0  0 918480  95828  65484 1206392    0    0     0    56 1465  495  0  3 97  0  0
 0  0 918480  95828  65484 1206400    0    0     0     0 1522  384  0  3 97  0  0
 0  0 918480  95828  65492 1206404    0    0     0    28 4078  584  1 15 80  3  0
 1  0 918480  95828  65492 1206404    0    0     0     0 2634  419  1  7 92  0  0
 1  0 918480  95828  65492 1206408    0    0     0     0 6164  613  0 23 77  0  0
 4  0 918480  95828  65492 1206408    0    0     0     0 5476  528  0 18 82  0  0
 1  0 918480  95828  65492 1206412    0    0     0     0 11494  859  1 47 52  0  0
 3  0 918480  95828  65500 1206412    0    0     0    20 10064  793  2 43 55  0  0
 3  0 918480  95828  65500 1206416    0    0     0     0 17030 1134  0 80 20  0  0
 2  0 918480  95828  65500 1206416    0    0     0     0 18308 1293  2 81 17  0  0
 1  0 918480  95828  65500 1206420    0    0     0     0 16941 1260  2 81 17  0  0
 2  0 918480  95828  65500 1206420    0    0     0    56 15510 1282  2 82 16  0  0
 4  0 918480  95828  65508 1206424    0    0     0    36 17565 1360  1 85 13  1  0
 1  0 918480  95828  65508 1206428    0    0     0     0 16794 1276  2 81 17  0  0
 0  0 918480  95828  65508 1206428    0    0     0     0 3136  530  1 13 86  0  0
 0  0 918480  95828  65508 1206432    0    0     0     0 1265  477  0  3 97  0  0
 0  0 918480  95828  65508 1206436    0    0     0     0 1175  483  1  5 94  0  0
 0  0 918480  95828  65516 1206436    0    0     0    20 1520  415  0  2 91  7  0
 1  0 918480  95828  65516 1206440    0    0     0     0 2690  548  3 10 87  0  0
 0  0 918480  95828  65516 1206440    0    0     0     0 3404  450  0  7 93  0  0
 0  0 918480  95828  65516 1206444    0    0     0     0 6704  606  2 22 76  0  0
 0  0 918480  95828  65516 1206444    0    0     0     0 5199  559  1 16 82  0  0
 0  0 918480  95828  65524 1206448    0    0     0    16 10056  801  1 42 53  3  0
 1  0 918480  95828  65524 1206452    0    0     0     0 9195  680  0 34 65  1  0
 1  0 918480  95828  65524 1206452    0    0     0     0 17083 1261  6 78 15  0  0
 4  0 918480  95828  65524 1206456    0    0     0     0 18898 1247  1 83 16  0  0
 1  0 918480  95828  65524 1206456    0    0     0     0 16871 1205  1 82 17  0  0
 5  0 918480  92692  65532 1206456    0    0     0    20 16975 1259  0 85 14  1  0
 0  0 918480  92692  65532 1206460    0    0     0     0 18315 1179  2 79 18  0  0
 2  0 918480  92692  65532 1206464    0    0     0     0 16499 1171  2 81 17  0  0
 0  0 918480  96536  65532 1206468    0    0     0     0 4705  549  0 15 85  0  0
 0  0 918480  96536  65532 1206468    0    0     0     0 1159  459  0  3 97  0  0
 1  0 918480  96536  65540 1206472    0    0     0    20 1132  412  1  2 88  9  0
 0  0 918480  96536  65540 1206472    0    0     0     0 1908  478  0  4 96  0  0
 0  0 918480  96536  65540 1206476    0    0     0     0 2192  461  1  5 94  0  0
 1  0 918480  96536  65540 1206480    0    0     0     0 4100  464  0 13 87  0  0
 0  0 918480  96536  65540 1206480    0    0     0     0 5416  627  2 26 72  0  0
 0  0 918480  96536  65548 1206484    0    0     0    20 4254  492  0 16 79  5  0
 1  0 918480  96536  65548 1206484    0    0     0     0 9861  796  2 47 51  0  0
 0  0 918480  96536  65548 1206488    0    0     0     0 10163  758  1 36 63  0  0
 1  0 918480  96536  65548 1206488    0    0     0     0 13810 1098  1 70 29  0  0
 0  0 918480  96536  65548 1206492    0    0     0    92 16491 1177  2 82 16  0  0
 0  0 918480  96536  65556 1206488    0    0     0    28 5050  909  2 18 72  8  0
 0  0 918480  96536  65556 1206500    0    0     0     0 1183  557  0  0 100  0  0
 0  0 918480  96536  65556 1206500    0    0     0     0  982  506  0  1 99  0  0
 0  0 918480  96536  65556 1206504    0    0     0     0 1770  511  0  5 95  0  0
 0  0 918480  96536  65556 1206504    0    0     0    24 2019  587  0  4 96  0  0
 0  0 918480  96536  65564 1206500    0    0     0    24 4789  692  1 17 77  5  0
 0  0 918480  96536  65564 1206512    0    0     0     0 4741  640  0 16 84  0  0
 0  0 918480  96536  65564 1206512    0    0     0     0 6167  623  0 20 80  0  0
 0  0 918480  96536  65564 1206520    0    0     0     0 8675  787  0 33 67  0  0
 1  0 918480  96536  65564 1206520    0    0     0     0 9716  838  0 40 60  0  0
 1  0 918480  96536  65572 1206516    0    0     0    16 17430 1212  1 71 26  2  0
 9  0 918480  96536  65572 1206524    0    0     0     0 18599 1371  3 79 18  0  0
 3  0 918480  96536  65572 1206528    0    0     0     0 18249 1358  1 81 18  0  0
 2  0 918480  96536  65580 1206520    0    0     0    48 18405 1432  3 81 15  1  0
 1  0 918480  96288  65580 1206532    0    0     0     0 18425 1448  2 81 16  0  0
 4  0 918480  96288  65580 1206532    0    0     0     0 18199 1374  1 81 18  0  0
 0  0 918480  96288  65580 1206536    0    0     0     0 6745  801  1 31 68  0  0
 0  0 918480  96288  65580 1206540    0    0     0     0 1130  419  0  2 98  0  0
 0  0 918480  96288  65588 1206532    0    0     0    52  896  444  1  0 92  7  0
 0  0 918480  96288  65588 1206544    0    0     0     0 1658  453  1  4 95  0  0
 0  0 918480  96288  65588 1206548    0    0     0     0 1643  459  0  3 97  0  0
 0  0 918480  96288  65588 1206548    0    0     0     0 4657  515  1 16 83  0  0
 0  0 918480  96288  65588 1206552    0    0     0     0 3200  500  0  8 92  0  0
 0  0 918480  96288  65596 1206544    0    0     0    16 7434  637  1 23 74  2  0
 0  0 918480  96288  65596 1206556    0    0     0     0 6858  639  1 25 74  0  0
 0  0 918480  96288  65596 1206560    0    0     0     0 11565  808  0 47 53  0  0
 2  0 918480  96288  65596 1206560    0    0     0     0 14404  990  2 59 39  0  0
 1  0 918480  96288  65596 1206560    0    0     0     0 18706 1296  2 82 16  0  0
 3  0 918480  96288  65604 1206556    0    0     0    20 18449 1435  1 83 16  0  0
